string,int,int,int,int,int,int,int,int,int
a,2,2,0,0,1,0,0,0,0
a,2,2,0,1,0,0,1,1,0
a,2,2,0,1,0,0,0,0,0
a,2,2,0,0,1,1,0,0,0
a,2,2,0,0,0,0,0,1,1
a,2,2,1,1,0,0,0,1,0
a,2,2,0,0,1,0,0,4,0
a,2,2,1,1,0,0,0,0,0
a,2,2,1,0,1,0,0,2,0
a,2,2,1,1,0,0,1,0,0
a,2,2,0,1,1,0,1,0,1
a,2,2,1,1,1,1,1,1,0
a,2,2,0,0,0,0,1,2,0
a,2,2,0,1,0,0,0,0,0
a,2,2,0,1,0,0,0,3,1
